Inserted List,ORF Name,Gene Name
YOR293W,YOR293W,RPS10a
YOR294W,YOR294W,RRS1
YOR295W,YOR295W,UAF30
YOR296W,YOR296W,YOR296W
YOR297C,YOR297C,TIM18
YOR298W,YOR298W,MUM3
YOR299W,YOR299W,BUD7
YOR300W,YOR300W,YOR300W
YOR301W,YOR301W,RAX1
YOR302W,YOR302W,YOR302W
YOR303W,YOR303W,CPA1
YOR304C-A,YOR304C-A,BIL1
YOR304W,YOR304W,ISW2
YOR305W,YOR305W,RRG7
YOR306C,YOR306C,MCH5
YOR307C,YOR307C,SLY41
YOR308C,YOR308C,SNU66
YOR309C,YOR309C,YOR309C
YOR310C,YOR310C,NOP58
YOR311C,YOR311C,DGK1
YOR312C,YOR312C,RPL20b
YOR313C,YOR313C,SPS4
YOR314W,YOR314W,YOR314W
YOR315W,YOR315W,SFG1
YOR316C,YOR316C,COT1
YOR317W,YOR317W,FAA1
YOR318C,YOR318C,YOR318C
YOR319W,YOR319W,HSH49
YOR320C,YOR320C,GNT1
YOR321W,YOR321W,PMT3
YOR322C,YOR322C,LDB19
YOR323C,YOR323C,PRO2
YOR324C,YOR324C,FRT1
YOR325W,YOR325W,YOR325W
YOR326W,YOR326W,MYO2
YOR327C,YOR327C,SNC2
YOR328W,YOR328W,PDR10
YOR329C,YOR329C,SCD5
YOR330C,YOR330C,MIP1
YOR331C,YOR331C,YOR331C
YOR332W,YOR332W,VMA4
YOR333C,YOR333C,YOR333C
YOR334W,YOR334W,MRS2
YOR335C,YOR335C,ALA1
YOR336W,YOR336W,KRE5
YOR337W,YOR337W,TEA1
YOR338W,YOR338W,YOR338W
YOR339C,YOR339C,UBC11
YOR340C,YOR340C,RPA43
YOR341W,YOR341W,RPA190
YOR342C,YOR342C,YOR342C
YOR343C,YOR343C,YOR343C
YOR344C,YOR344C,TYE7
YOR345C,YOR345C,YOR345C
YOR346W,YOR346W,REV1
YOR347C,YOR347C,PYK2
YOR348C,YOR348C,PUT4
YOR349W,YOR349W,CIN1
YOR350C,YOR350C,MNE1
YOR351C,YOR351C,MEK1
YOR352W,YOR352W,TFB6
YOR353C,YOR353C,SOG2
YOR354C,YOR354C,MSC6
YOR355W,YOR355W,GDS1
YOR356W,YOR356W,CIR2
YOR357C,YOR357C,SNX3
YOR358W,YOR358W,HAP5
YOR359W,YOR359W,VTS1
YOR360C,YOR360C,PDE2
YOR361C,YOR361C,PRT1
YOR362C,YOR362C,PRE10
YOR363C,YOR363C,PIP2
YOR364W,YOR364W,YOR364W
YOR365C,YOR365C,YOR365C
YOR366W,YOR366W,YOR366W
YOR367W,YOR367W,SCP1
YOR368W,YOR368W,RAD17
YOR369C,YOR369C,RPS12
YOR370C,YOR370C,MRS6
YOR371C,YOR371C,GPB1
YOR372C,YOR372C,NDD1
YOR373W,YOR373W,NUD1
YOR374W,YOR374W,ALD4
YOR375C,YOR375C,GDH1
YOR376W,YOR376W,YOR376W
YOR377W,YOR377W,ATF1
YOR378W,YOR378W,AMF1
YOR379C,YOR379C,YOR379C
YOR380W,YOR380W,RDR1
YOR381W,YOR381W,FRE3
YOR382W,YOR382W,FIT2
YOR383C,YOR383C,FIT3
YOR384W,YOR384W,FRE5
YOR385W,YOR385W,YOR385W
YOR386W,YOR386W,PHR1
YOR387C,YOR387C,YOR387C
YOR388C,YOR388C,FDH1
YOR389W,YOR389W,YOR389W
YOR390W,YOR390W,FEX1
YOR391C,YOR391C,HSP33
YOR392W,YOR392W,YOR392W
YOR393W,YOR393W,ERR1
YOR394W,YOR394W,PAU21
YPL001W,YPL001W,HAT1
YPL002C,YPL002C,SNF8
YPL003W,YPL003W,ULA1
YPL004C,YPL004C,LSP1
YPL005W,YPL005W,AEP3
YPL006W,YPL006W,NCR1
YPL007C,YPL007C,TFC8
YPL008W,YPL008W,CHL1
YPL009C,YPL009C,RQC2
YPL010W,YPL010W,RET3
YPL011C,YPL011C,TAF3
YPL012W,YPL012W,RRP12
YPL013C,YPL013C,MRPS16
YPL014W,YPL014W,CIP1
YPL015C,YPL015C,HST2
YPL016W,YPL016W,SWI1
YPL017C,YPL017C,IRC15
YPL018W,YPL018W,CTF19
YPL019C,YPL019C,VTC3
YPL020C,YPL020C,ULP1
YPL021W,YPL021W,ECM23
YPL022W,YPL022W,RAD1
YPL023C,YPL023C,MET12
YPL024W,YPL024W,RMI1
YPL025C,YPL025C,YPL025C
YPL026C,YPL026C,SKS1
YPL027W,YPL027W,SMA1
YPL028W,YPL028W,ERG10
YPL029W,YPL029W,SUV3
YPL030W,YPL030W,TRM44
YPL031C,YPL031C,PHO85
YPL032C,YPL032C,SVL3
YPL033C,YPL033C,SRL4
YPL034W,YPL034W,YPL034W
YPL035C,YPL035C,YPL035C
YPL036W,YPL036W,PMA2
YPL037C,YPL037C,EGD1
YPL038W,YPL038W,MET31
YPL039W,YPL039W,YPL039W
YPL040C,YPL040C,ISM1
YPL041C,YPL041C,MRX11
YPL042C,YPL042C,SSN3
YPL043W,YPL043W,NOP4
YPL044C,YPL044C,YPL044C
YPL045W,YPL045W,VPS16
YPL046C,YPL046C,ELC1
YPL047W,YPL047W,SGF11
YPL048W,YPL048W,CAM1
YPL049C,YPL049C,DIG1
YPL050C,YPL050C,MNN9
YPL051W,YPL051W,ARL3
YPL052W,YPL052W,OAZ1
YPL053C,YPL053C,KTR6
YPL054W,YPL054W,LEE1
YPL055C,YPL055C,LGE1
YPL056C,YPL056C,LCL1
YPL057C,YPL057C,SUR1
YPL058C,YPL058C,PDR12
YPL059W,YPL059W,GRX5
YPL060W,YPL060W,MFM1
YPL061W,YPL061W,ALD6
YPL062W,YPL062W,YPL062W
YPL063W,YPL063W,TIM50
YPL064C,YPL064C,CWC27
YPL065W,YPL065W,VPS28
YPL066W,YPL066W,RGL1
YPL067C,YPL067C,YPL067C
YPL068C,YPL068C,YPL068C
YPL069C,YPL069C,BTS1
YPL070W,YPL070W,MUK1
YPL071C,YPL071C,YPL071C
YPL072W,YPL072W,UBP16
YPL073C,YPL073C,YPL073C
YPL074W,YPL074W,YTA6
YPL075W,YPL075W,GCR1
YPL076W,YPL076W,GPI2
YPL077C,YPL077C,YPL077C
YPL078C,YPL078C,ATP4
YPL079W,YPL079W,RPL21b
YPL080C,YPL080C,YPL080C
YPL081W,YPL081W,RPS9a
YPL082C,YPL082C,MOT1
YPL083C,YPL083C,SEN54
YPL084W,YPL084W,BRO1
YPL085W,YPL085W,SEC16
YPL086C,YPL086C,ELP3
YPL087W,YPL087W,YDC1
YPL088W,YPL088W,YPL088W
YPL089C,YPL089C,RLM1
YPL090C,YPL090C,RPS6a
YPL091W,YPL091W,GLR1
YPL092W,YPL092W,SSU1
YPL093W,YPL093W,NOG1
