Inserted List,,ORF Name,Gene Name
SNF3,,YDL194W,SNF3
NUS1,,YDL193W,NUS1
ARF1,,YDL192W,ARF1
RPL35a,,YDL191W,RPL35a
UFD2,,YDL190C,UFD2
RBS1,,YDL189W,RBS1
PPH22,,YDL188C,PPH22
YDL187C,,YDL187C,YDL187C
YDL186W,,YDL186W,YDL186W
YDL185C-A,,YDL185C-A,YDL185C-A
VMA1,,YDL185W,VMA1
RPL41a,,YDL184C,RPL41a
YDL183C,,YDL183C,YDL183C
INH1,,YDL181W,INH1
YDL180W,,YDL180W,YDL180W
PCL9,,YDL179W,PCL9
DLD2,,YDL178W,DLD2
YDL177C,,YDL177C,YDL177C
YDL176W,,YDL176W,YDL176W
AIR2,,YDL175C,AIR2
DLD1,,YDL174C,DLD1
PAR32,,YDL173W,PAR32
YDL172C,,YDL172C,YDL172C
GLT1,,YDL171C,GLT1
UGA3,,YDL170W,UGA3
UGX2,,YDL169C,UGX2
SFA1,,YDL168W,SFA1
NRP1,,YDL167C,NRP1
FAP7,,YDL166C,FAP7
CDC36,,YDL165W,CDC36
CDC9,,YDL164C,CDC9
YDL163W,,YDL163W,YDL163W
YDL162C,,YDL162C,YDL162C
ENT1,,YDL161W,ENT1
DHH1,,YDL160C,DHH1
YDL159W-A,,YDL159W-A,YDL159W-A
STE7,,YDL159W,STE7
YDL158C,,YDL158C,YDL158C
YDL157C,,YDL157C,YDL157C
CMR1,,YDL156W,CMR1
CLB3,,YDL155W,CLB3
MSH5,,YDL154W,MSH5
SAS10,,YDL153C,SAS10
YDL152W,,YDL152W,YDL152W
BUD30,,YDL151C,BUD30
RPC53,,YDL150W,RPC53
ATG9,,YDL149W,ATG9
NOP14,,YDL148C,NOP14
RPN5,,YDL147W,RPN5
LDB17,,YDL146W,LDB17
COP1,,YDL145C,COP1
YDL144C,,YDL144C,YDL144C
CCT4,,YDL143W,CCT4
CRD1,,YDL142C,CRD1
BPL1,,YDL141W,BPL1
RPO21,,YDL140C,RPO21
SCM3,,YDL139C,SCM3
RGT2,,YDL138W,RGT2
ARF2,,YDL137W,ARF2
RPL35b,,YDL136W,RPL35b
RDI1,,YDL135C,RDI1
PPH21,,YDL134C,PPH21
RPL41b,,YDL133C-A,RPL41b
SRF1,,YDL133W,SRF1
CDC53,,YDL132W,CDC53
STF1,,YDL130W-A,STF1
RPP1b,,YDL130W,RPP1b
YDL129W,,YDL129W,YDL129W
VCX1,,YDL128W,VCX1
PCL2,,YDL127W,PCL2
CDC48,,YDL126C,CDC48
HNT1,,YDL125C,HNT1
YDL124W,,YDL124W,YDL124W
SNA4,,YDL123W,SNA4
UBP1,,YDL122W,UBP1
YDL121C,,YDL121C,YDL121C
YFH1,,YDL120W,YFH1
HEM25,,YDL119C,HEM25
YDL118W,,YDL118W,YDL118W
CYK3,,YDL117W,CYK3
NUP84,,YDL116W,NUP84
IWR1,,YDL115C,IWR1
YDL114W,,YDL114W,YDL114W
ATG20,,YDL113C,ATG20
TRM3,,YDL112W,TRM3
RRP42,,YDL111C,RRP42
TMA17,,YDL110C,TMA17
YDL109C,,YDL109C,YDL109C
KIN28,,YDL108W,KIN28
MSS2,,YDL107W,MSS2
PHO2,,YDL106C,PHO2
NSE4,,YDL105W,NSE4
QRI7,,YDL104C,QRI7
QRI1,,YDL103C,QRI1
POL3,,YDL102W,POL3
DUN1,,YDL101C,DUN1
GET3,,YDL100C,GET3
BUG1,,YDL099W,BUG1
SNU23,,YDL098C,SNU23
RPN6,,YDL097C,RPN6
YDL096C,,YDL096C,YDL096C
PMT1,,YDL095W,PMT1
YDL094C,,YDL094C,YDL094C
PMT5,,YDL093W,PMT5
SRP14,,YDL092W,SRP14
UBX3,,YDL091C,UBX3
RAM1,,YDL090C,RAM1
NUR1,,YDL089W,NUR1
ASM4,,YDL088C,ASM4
LUC7,,YDL087C,LUC7
YDL086W,,YDL086W,YDL086W
YDL085C-A,,YDL085C-A,YDL085C-A
NDE2,,YDL085W,NDE2
SUB2,,YDL084W,SUB2
RPS16b,,YDL083C,RPS16b
RPL13a,,YDL082W,RPL13a
RPP1a,,YDL081C,RPP1a
THI3,,YDL080C,THI3
MRK1,,YDL079C,MRK1
MDH3,,YDL078C,MDH3
VAM6,,YDL077C,VAM6
RXT3,,YDL076C,RXT3
RPL31a,,YDL075W,RPL31a
BRE1,,YDL074C,BRE1
AHK1,,YDL073W,AHK1
YET3,,YDL072C,YET3
YDL071C,,YDL071C,YDL071C
BDF2,,YDL070W,BDF2
CBS1,,YDL069C,CBS1
YDL068W,,YDL068W,YDL068W
COX9,,YDL067C,COX9
IDP1,,YDL066W,IDP1
PEX19,,YDL065C,PEX19
UBC9,,YDL064W,UBC9
SYO1,,YDL063C,SYO1
YDL062W,,YDL062W,YDL062W
RPS29b,,YDL061C,RPS29b
TSR1,,YDL060W,TSR1
RAD59,,YDL059C,RAD59
USO1,,YDL058W,USO1
YDL057W,,YDL057W,YDL057W
MBP1,,YDL056W,MBP1
PSA1,,YDL055C,PSA1
MCH1,,YDL054C,MCH1
PBP4,,YDL053C,PBP4
SLC1,,YDL052C,SLC1
LHP1,,YDL051W,LHP1
YDL050C,,YDL050C,YDL050C
KNH1,,YDL049C,KNH1
STP4,,YDL048C,STP4
SIT4,,YDL047W,SIT4
NPC2,,YDL046W,NPC2
MRP10,,YDL045W-A,MRP10
FAD1,,YDL045C,FAD1
MTF2,,YDL044C,MTF2
PRP11,,YDL043C,PRP11
SIR2,,YDL042C,SIR2
YDL041W,,YDL041W,YDL041W
NAT1,,YDL040C,NAT1
PRM7,,YDL039C,PRM7
YDL038C,,YDL038C,YDL038C
BSC1,,YDL037C,BSC1
PUS9,,YDL036C,PUS9
GPR1,,YDL035C,GPR1
YDL034W,,YDL034W,YDL034W
SLM3,,YDL033C,SLM3
YDL032W,,YDL032W,YDL032W
DBP10,,YDL031W,DBP10
PRP9,,YDL030W,PRP9
ARP2,,YDL029W,ARP2
MPS1,,YDL028C,MPS1
MRX9,,YDL027C,MRX9
YDL026W,,YDL026W,YDL026W
RTK1,,YDL025C,RTK1
DIA3,,YDL024C,DIA3
YDL023C,,YDL023C,YDL023C
GPD1,,YDL022W,GPD1
GPM2,,YDL021W,GPM2
RPN4,,YDL020C,RPN4
OSH2,,YDL019C,OSH2
ERP3,,YDL018C,ERP3
CDC7,,YDL017W,CDC7
YDL016C,,YDL016C,YDL016C
TSC13,,YDL015C,TSC13
NOP1,,YDL014W,NOP1
SLX5,,YDL013W,SLX5
YDL012C,,YDL012C,YDL012C
YDL011C,,YDL011C,YDL011C
GRX6,,YDL010W,GRX6
